name,region,date
KY120352_KR_2016,South Korea,2016
KY120353_KR_2016,South Korea,2016
KY126351_TW_2016,Taiwan,2016
KY241671_SG_2016,Singapore,2016
KY241673_SG_2016,Singapore,2016
KY241674_SG_2016,Singapore,2016
KY241675_SG_2016,Singapore,2016
KY241676_SG_2016,Singapore,2016
KY241677_SG_2016,Singapore,2016
KY241678_SG_2016,Singapore,2016
KY241679_SG_2016,Singapore,2016
KY241680_SG_2016,Singapore,2016
KY241681_SG_2016,Singapore,2016
KY241682_SG_2016,Singapore,2016
KY241683_SG_2016,Singapore,2016
KY241684_SG_2016,Singapore,2016
KY241685_SG_2016,Singapore,2016
KY241686_SG_2016,Singapore,2016
KY241687_SG_2016,Singapore,2016
KY241688_SG_2016,Singapore,2016
KY241689_SG_2016,Singapore,2016
KY241690_SG_2016,Singapore,2016
KY241691_SG_2016,Singapore,2016
KY241692_SG_2016,Singapore,2016
KY241693_SG_2016,Singapore,2016
KY241694_SG_2016,Singapore,2016
KY241695_SG_2016,Singapore,2016
KY241696_SG_2016,Singapore,2016
KY241697_SG_2016,Singapore,2016
KY241698_SG_2016,Singapore,2016
KY241699_SG_2016,Singapore,2016
KY241700_SG_2016,Singapore,2016
KY241701_SG_2016,Singapore,2016
KY241702_SG_2016,Singapore,2016
KY241703_SG_2016,Singapore,2016
KY241704_SG_2016,Singapore,2016
KY241705_SG_2016,Singapore,2016
KY241706_SG_2016,Singapore,2016
KY241707_SG_2016,Singapore,2016
KY241708_SG_2016,Singapore,2016
KY241709_SG_2016,Singapore,2016
KY241710_SG_2016,Singapore,2016
KY241711_SG_2016,Singapore,2016
KY241712_SG_2016,Singapore,2016
KY241713_SG_2016,Singapore,2016
KY241714_SG_2016,Singapore,2016
KY241715_SG_2016,Singapore,2016
KY241716_SG_2016,Singapore,2016
KY241717_SG_2016,Singapore,2016
KY241718_SG_2016,Singapore,2016
KY241719_SG_2016,Singapore,2016
KY241720_SG_2016,Singapore,2016
KY241721_SG_2016,Singapore,2016
KY241722_SG_2016,Singapore,2016
KY241723_SG_2016,Singapore,2016
KY241724_SG_2016,Singapore,2016
KY241725_SG_2016,Singapore,2016
KY241726_SG_2016,Singapore,2016
KY241727_SG_2016,Singapore,2016
